instruction,response,product_name,total_price,price_per_unit,unit_value,unit
"What is the price per unit for Bridgford Sweet Baby Ray's Beef Jerky, High Protein, Zero Trans Fat, Made With 100% American Beef, Sweet Teriyaki, 10 Ounce (Pack of 6)?","The total price for Bridgford Sweet Baby Ray's Beef Jerky, High Protein, Zero Trans Fat, Made With 100% American Beef, Sweet Teriyaki, 10 Ounce (Pack of 6) is $81.32, but price per unit information is not available.","Bridgford Sweet Baby Ray's Beef Jerky, High Protein, Zero Trans Fat, Made With 100% American Beef, Sweet Teriyaki, 10 Ounce (Pack of 6)",81.32,0.0,0.0,None
What is the price per unit for Eden Organic Vegetable Alphabets Packages - 16 oz?,The price per unit for Eden Organic Vegetable Alphabets Packages - 16 oz is $19.900 per Count. The total price is $19.90 for 1.0 Count.,Eden Organic Vegetable Alphabets Packages - 16 oz,19.9,19.9,1.0,Count
"What is the price per unit for Junket Ice Cream Mix Dutch Chocolate, 4-Ounce (Pack of 12)?","The price per unit for Junket Ice Cream Mix Dutch Chocolate, 4-Ounce (Pack of 12) is $1.000 per ounce. The total price is $47.99 for 48.0 ounce.","Junket Ice Cream Mix Dutch Chocolate, 4-Ounce (Pack of 12)",47.99,0.9998,48.0,ounce
"What is the price per unit for Sour Punch - Share Me Assorted Bites, 3.5 Ounce -- 144 per case.?","The price per unit for Sour Punch - Share Me Assorted Bites, 3.5 Ounce -- 144 per case. is $2.157 per Count. The total price is $310.67 for 144.0 Count.","Sour Punch - Share Me Assorted Bites, 3.5 Ounce -- 144 per case.",310.67,2.1574,144.0,Count
"What is the price per unit for Davinci Pasta, Lasagna, 1 Pound?","The price per unit for Davinci Pasta, Lasagna, 1 Pound is $5.990 per pound. The total price is $5.99 for 1.0 pound.","Davinci Pasta, Lasagna, 1 Pound",5.99,5.99,1.0,pound
What is the price per unit for Snack Break Coconut Rolled Wafers - 24 Individually Wrapped Coconut Wafer Rolls (Pack of 3) with Creamy Coconut Filling - Snacks for Kids & Adults?,The price per unit for Snack Break Coconut Rolled Wafers - 24 Individually Wrapped Coconut Wafer Rolls (Pack of 3) with Creamy Coconut Filling - Snacks for Kids & Adults is $0.359 per Count. The total price is $25.85 for 72.0 Count.,Snack Break Coconut Rolled Wafers - 24 Individually Wrapped Coconut Wafer Rolls (Pack of 3) with Creamy Coconut Filling - Snacks for Kids & Adults,25.85,0.359,72.0,Count
"What is the price per unit for Roland Mustard Dijon, Extra Strong 13 OZ (Pack of 12)12?","The price per unit for Roland Mustard Dijon, Extra Strong 13 OZ (Pack of 12)12 is $0.083 per Fl Oz. The total price is $12.94 for 156.0 Fl Oz.","Roland Mustard Dijon, Extra Strong 13 OZ (Pack of 12)12",12.94,0.0829,156.0,Fl Oz
"What is the price per unit for Marshalls Creek Spices Refill Pouch Broiled Lamb Seasoning, 13 Ounce?","The price per unit for Marshalls Creek Spices Refill Pouch Broiled Lamb Seasoning, 13 Ounce is $0.984 per Ounce. The total price is $12.79 for 13.0 Ounce.","Marshalls Creek Spices Refill Pouch Broiled Lamb Seasoning, 13 Ounce",12.79,0.9838,13.0,Ounce
"What is the price per unit for Peets Coffee And Tea, Coffee Dark Roast French Roast K-Cup Pods, 48 Count?","The total price for Peets Coffee And Tea, Coffee Dark Roast French Roast K-Cup Pods, 48 Count is $34.97, but price per unit information is not available.","Peets Coffee And Tea, Coffee Dark Roast French Roast K-Cup Pods, 48 Count",34.97,0.0,0.0,None
"What is the price per unit for 3 X McCormick Imitation Vanilla Flavor, 32 Ounce?","The price per unit for 3 X McCormick Imitation Vanilla Flavor, 32 Ounce is $4.678 per Count. The total price is $14.04 for 3.0 Count.","3 X McCormick Imitation Vanilla Flavor, 32 Ounce",14.04,4.6783,3.0,Count
What is the price per unit for Amish Pie Filling No Sugar Added Peach- TWO 32 Oz Jars?,The price per unit for Amish Pie Filling No Sugar Added Peach- TWO 32 Oz Jars is $0.656 per Ounce. The total price is $41.99 for 64.0 Ounce.,Amish Pie Filling No Sugar Added Peach- TWO 32 Oz Jars,41.99,0.6561,64.0,Ounce
What is the price per unit for Star Trek PEZ Dispensers Collectors Series?,The price per unit for Star Trek PEZ Dispensers Collectors Series is $56.930 per count. The total price is $56.93 for 1.0 count.,Star Trek PEZ Dispensers Collectors Series,56.93,56.93,1.0,count
What is the price per unit for Stello Foods - Rosie's Butter & Garlic Wing Sauce 12 oz?,The price per unit for Stello Foods - Rosie's Butter & Garlic Wing Sauce 12 oz is $0.458 per Ounce. The total price is $5.50 for 12.0 Ounce.,Stello Foods - Rosie's Butter & Garlic Wing Sauce 12 oz,5.5,0.4583,12.0,Ounce
What is the price per unit for Nutrigrain Strawberry Bars 12 Case 10.4 Ounce?,The price per unit for Nutrigrain Strawberry Bars 12 Case 10.4 Ounce is $5.875 per Count. The total price is $70.50 for 12.0 Count.,Nutrigrain Strawberry Bars 12 Case 10.4 Ounce,70.5,5.875,12.0,Count
What is the price per unit for Natures Bakery Fig Bar Whole Wheat Raspberry 6ct Box (Pack of 4)?,The price per unit for Natures Bakery Fig Bar Whole Wheat Raspberry 6ct Box (Pack of 4) is $0.208 per Ounce. The total price is $10.00 for 48.0 Ounce.,Natures Bakery Fig Bar Whole Wheat Raspberry 6ct Box (Pack of 4),10.0,0.2083,48.0,Ounce
"What is the price per unit for McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz?","The price per unit for McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz is $1.336 per Ounce. The total price is $1.67 for 1.2 Ounce.","McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz",1.67,1.336,1.25,Ounce
"What is the price per unit for NOH Foods Hawaiian-Style Teri-Burger Seasoning Mix - 48oz (3lb) Recloseable Bag | Authentic Teriyaki, No MSG | Effortless Gourmet for Busy Families & Food Service - Just Add Water?","The price per unit for NOH Foods Hawaiian-Style Teri-Burger Seasoning Mix - 48oz (3lb) Recloseable Bag | Authentic Teriyaki, No MSG | Effortless Gourmet for Busy Families & Food Service - Just Add Water is $0.833 per Ounce. The total price is $39.97 for 48.0 Ounce.","NOH Foods Hawaiian-Style Teri-Burger Seasoning Mix - 48oz (3lb) Recloseable Bag | Authentic Teriyaki, No MSG | Effortless Gourmet for Busy Families & Food Service - Just Add Water",39.97,0.8327,48.0,Ounce
What is the price per unit for BLUE TEA - Butterfly Pea Flower Cinnamon Herbal Tea - 30 Tea Bags || ANTIOXIDANT RICH || Herbal Tea - Caffeine Free - Calming Tea - Flower Based - Vegan - Non-Bitter - Non-GMO| Eco Conscious Tin Pack?,The price per unit for BLUE TEA - Butterfly Pea Flower Cinnamon Herbal Tea - 30 Tea Bags || ANTIOXIDANT RICH || Herbal Tea - Caffeine Free - Calming Tea - Flower Based - Vegan - Non-Bitter - Non-GMO| Eco Conscious Tin Pack is $0.418 per Count. The total price is $12.54 for 30.0 Count.,BLUE TEA - Butterfly Pea Flower Cinnamon Herbal Tea - 30 Tea Bags || ANTIOXIDANT RICH || Herbal Tea - Caffeine Free - Calming Tea - Flower Based - Vegan - Non-Bitter - Non-GMO| Eco Conscious Tin Pack,12.54,0.4178,30.0,Count
"What is the price per unit for Bob's Red Mill Golden Flaxseed Meal, 16oz (Pack of 1) - Non GMO, Vegan, Paleo Friendly, Keto Friendly, Kosher?","The price per unit for Bob's Red Mill Golden Flaxseed Meal, 16oz (Pack of 1) - Non GMO, Vegan, Paleo Friendly, Keto Friendly, Kosher is $0.927 per Ounce. The total price is $14.84 for 16.0 Ounce.","Bob's Red Mill Golden Flaxseed Meal, 16oz (Pack of 1) - Non GMO, Vegan, Paleo Friendly, Keto Friendly, Kosher",14.84,0.9272,16.0,Ounce
"What is the price per unit for Boar's Head Pepperhouse Gourmaise, 8.5 oz?","The price per unit for Boar's Head Pepperhouse Gourmaise, 8.5 oz is $2.289 per Fl Oz. The total price is $19.46 for 8.5 Fl Oz.","Boar's Head Pepperhouse Gourmaise, 8.5 oz",19.46,2.2894,8.5,Fl Oz
"What is the price per unit for Himalayan Chef Salt Grinder, Refillable-13 Ounce?","The price per unit for Himalayan Chef Salt Grinder, Refillable-13 Ounce is $1.357 per ounce. The total price is $17.64 for 13.0 ounce.","Himalayan Chef Salt Grinder, Refillable-13 Ounce",17.64,1.3569,13.0,ounce
What is the price per unit for Chef Merito Ssnng Carne Asada?,The price per unit for Chef Merito Ssnng Carne Asada is $1.760 per Count. The total price is $5.28 for 3.0 Count.,Chef Merito Ssnng Carne Asada,5.28,1.76,3.0,Count
"What is the price per unit for [CAMEO] - bubly sparkling water | Carbonated Water 6 Flavor Variety Pack | Zero Calories & Zero Sugar, 12 Fl Oz Cans (18 Pack)?","The price per unit for [CAMEO] - bubly sparkling water | Carbonated Water 6 Flavor Variety Pack | Zero Calories & Zero Sugar, 12 Fl Oz Cans (18 Pack) is $2.163 per Fl Oz. The total price is $25.95 for 12.0 Fl Oz.","[CAMEO] - bubly sparkling water | Carbonated Water 6 Flavor Variety Pack | Zero Calories & Zero Sugar, 12 Fl Oz Cans (18 Pack)",25.95,2.1625,12.0,Fl Oz
"What is the price per unit for Foods Alive Organic Goji Berries, 8 Ounce Bag - Wolfberries, Non-GMO, Plant Based, Gluten Free, Great snack or add to trail mixes?","The price per unit for Foods Alive Organic Goji Berries, 8 Ounce Bag - Wolfberries, Non-GMO, Plant Based, Gluten Free, Great snack or add to trail mixes is $1.629 per ounce. The total price is $13.03 for 8.0 ounce.","Foods Alive Organic Goji Berries, 8 Ounce Bag - Wolfberries, Non-GMO, Plant Based, Gluten Free, Great snack or add to trail mixes",13.03,1.6288,8.0,ounce
What is the price per unit for Golden Flavor - Jalapeno Cheddar Sesame Sticks - 12 oz bags (7 Pack)?,The price per unit for Golden Flavor - Jalapeno Cheddar Sesame Sticks - 12 oz bags (7 Pack) is $0.566 per Ounce. The total price is $47.52 for 84.0 Ounce.,Golden Flavor - Jalapeno Cheddar Sesame Sticks - 12 oz bags (7 Pack),47.52,0.5657,84.0,Ounce
"What is the price per unit for Goya Foods Thai Jasmine Rice, 10 Pound?","The price per unit for Goya Foods Thai Jasmine Rice, 10 Pound is $2.574 per pound. The total price is $25.74 for 10.0 pound.","Goya Foods Thai Jasmine Rice, 10 Pound",25.74,2.574,10.0,pound
"What is the price per unit for Bob's Red Mill Old Fashioned Regular Rolled Oats, 32oz (Pack of 1) - Non GMO, Whole Grain, Vegan, Kosher?","The price per unit for Bob's Red Mill Old Fashioned Regular Rolled Oats, 32oz (Pack of 1) - Non GMO, Whole Grain, Vegan, Kosher is $0.237 per Ounce. The total price is $7.59 for 32.0 Ounce.","Bob's Red Mill Old Fashioned Regular Rolled Oats, 32oz (Pack of 1) - Non GMO, Whole Grain, Vegan, Kosher",7.59,0.2372,32.0,Ounce
What is the price per unit for Atkinson Slo Poke Bite Size Caramel Candy Old Fashioned Candy Old School Caramel Candy Movie Theater Candy (2 Pound)?,The price per unit for Atkinson Slo Poke Bite Size Caramel Candy Old Fashioned Candy Old School Caramel Candy Movie Theater Candy (2 Pound) is $0.655 per Ounce. The total price is $20.95 for 32.0 Ounce.,Atkinson Slo Poke Bite Size Caramel Candy Old Fashioned Candy Old School Caramel Candy Movie Theater Candy (2 Pound),20.95,0.6547,32.0,Ounce
"What is the price per unit for Fever Tree Naturally Light Tonic Water, 8 x 150ml.?","The price per unit for Fever Tree Naturally Light Tonic Water, 8 x 150ml. is $0.246 per Fl Oz. The total price is $9.99 for 40.6 Fl Oz.","Fever Tree Naturally Light Tonic Water, 8 x 150ml.",9.99,0.2462,40.57,Fl Oz
"What is the price per unit for Ocean Spray 100% Juice, Cranberry, 60 Ounce?","The price per unit for Ocean Spray 100% Juice, Cranberry, 60 Ounce is $0.082 per Fl Oz. The total price is $4.89 for 60.0 Fl Oz.","Ocean Spray 100% Juice, Cranberry, 60 Ounce",4.89,0.0815,60.0,Fl Oz
"What is the price per unit for Entenmann's Little Bites Chocolate Chip Mini Muffins, 10 Pouches?","The price per unit for Entenmann's Little Bites Chocolate Chip Mini Muffins, 10 Pouches is $0.424 per Ounce. The total price is $6.99 for 16.5 Ounce.","Entenmann's Little Bites Chocolate Chip Mini Muffins, 10 Pouches",6.99,0.4236,16.5,Ounce
What is the price per unit for Shan Tikkiya Kabab Recipe and Seasoning Mix 1.76 oz (50g) - Spice Powder for Instant Shallow Fried Mince Meat Patties - Suitable for Vegetarians - Airtight Bag in a Box (Pack of 6)?,The price per unit for Shan Tikkiya Kabab Recipe and Seasoning Mix 1.76 oz (50g) - Spice Powder for Instant Shallow Fried Mince Meat Patties - Suitable for Vegetarians - Airtight Bag in a Box (Pack of 6) is $0.567 per Ounce. The total price is $5.99 for 10.6 Ounce.,Shan Tikkiya Kabab Recipe and Seasoning Mix 1.76 oz (50g) - Spice Powder for Instant Shallow Fried Mince Meat Patties - Suitable for Vegetarians - Airtight Bag in a Box (Pack of 6),5.99,0.5672,10.56,Ounce
"What is the price per unit for RIGONI CHOC SPRD HZLNUT ORG, 9.52 OZ?","The price per unit for RIGONI CHOC SPRD HZLNUT ORG, 9.52 OZ is $10.500 per Count. The total price is $10.50 for 1.0 Count.","RIGONI CHOC SPRD HZLNUT ORG, 9.52 OZ",10.5,10.5,1.0,Count
"What is the price per unit for Crofter's Organic Premium Spread, Seedless Blackberry, 16.5 oz Jar?","The price per unit for Crofter's Organic Premium Spread, Seedless Blackberry, 16.5 oz Jar is $0.363 per Fl Oz. The total price is $5.99 for 16.5 Fl Oz.","Crofter's Organic Premium Spread, Seedless Blackberry, 16.5 oz Jar",5.99,0.363,16.5,Fl Oz
What is the price per unit for Gustaf's Premium Dutch Licorice | Salted Licorice Coins | Bulk Candy | 2.2 pounds (1kg)?,The price per unit for Gustaf's Premium Dutch Licorice | Salted Licorice Coins | Bulk Candy | 2.2 pounds (1kg) is $28.490 per Count. The total price is $28.49 for 1.0 Count.,Gustaf's Premium Dutch Licorice | Salted Licorice Coins | Bulk Candy | 2.2 pounds (1kg),28.49,28.49,1.0,Count
"What is the price per unit for WILDE Nashville Hot Protein Chips, Thin and Crispy, High Protein, Keto friendly, Made with Real Ingredients 2.25oz Bags (Pack of 3)…?","The price per unit for WILDE Nashville Hot Protein Chips, Thin and Crispy, High Protein, Keto friendly, Made with Real Ingredients 2.25oz Bags (Pack of 3)… is $2.510 per Ounce. The total price is $16.94 for 6.8 Ounce.","WILDE Nashville Hot Protein Chips, Thin and Crispy, High Protein, Keto friendly, Made with Real Ingredients 2.25oz Bags (Pack of 3)…",16.94,2.5096,6.75,Ounce
What is the price per unit for Tazo Chai Tea Latte Concentrate 32 Oz (2x32 Oz)?,The price per unit for Tazo Chai Tea Latte Concentrate 32 Oz (2x32 Oz) is $0.101 per Fl Oz. The total price is $6.49 for 64.0 Fl Oz.,Tazo Chai Tea Latte Concentrate 32 Oz (2x32 Oz),6.49,0.1014,64.0,Fl Oz
"What is the price per unit for MiO Sport Berry Blast Naturally Flavored Liquid Water Enhancer with Electrolytes & B Vitamins, 1.62 fl oz Bottle?","The price per unit for MiO Sport Berry Blast Naturally Flavored Liquid Water Enhancer with Electrolytes & B Vitamins, 1.62 fl oz Bottle is $2.154 per Fl Oz. The total price is $3.49 for 1.6 Fl Oz.","MiO Sport Berry Blast Naturally Flavored Liquid Water Enhancer with Electrolytes & B Vitamins, 1.62 fl oz Bottle",3.49,2.1543,1.62,Fl Oz
"What is the price per unit for Hamburger Helper Spaghetti Pasta, 6.6 Ounces, 12 per Case?","The price per unit for Hamburger Helper Spaghetti Pasta, 6.6 Ounces, 12 per Case is $0.618 per Ounce. The total price is $48.94 for 79.2 Ounce.","Hamburger Helper Spaghetti Pasta, 6.6 Ounces, 12 per Case",48.94,0.618,79.2,Ounce
"What is the price per unit for Jell-O Play Slime Making Kit, Unicorn Strawberry (14.8 oz Mix)?","The price per unit for Jell-O Play Slime Making Kit, Unicorn Strawberry (14.8 oz Mix) is $0.455 per Ounce. The total price is $6.74 for 14.8 Ounce.","Jell-O Play Slime Making Kit, Unicorn Strawberry (14.8 oz Mix)",6.74,0.4554,14.8,Ounce
What is the price per unit for CB's Nuts Organic Salted Creamunchy Peanut Butter with Real Salt?,The price per unit for CB's Nuts Organic Salted Creamunchy Peanut Butter with Real Salt is $7.718 per Ounce. The total price is $123.49 for 16.0 Ounce.,CB's Nuts Organic Salted Creamunchy Peanut Butter with Real Salt,123.49,7.7181,16.0,Ounce
"What is the price per unit for Broken Taco Spicy Serrano Peppers, 8 Fl Oz, 236 ML?","The price per unit for Broken Taco Spicy Serrano Peppers, 8 Fl Oz, 236 ML is $0.999 per Fl Oz. The total price is $7.99 for 8.0 Fl Oz.","Broken Taco Spicy Serrano Peppers, 8 Fl Oz, 236 ML",7.99,0.9988,8.0,Fl Oz
"What is the price per unit for Mio Liquid Water Enhancer, Fruit Punch, 1.62 OZ, 12-Pack?","The price per unit for Mio Liquid Water Enhancer, Fruit Punch, 1.62 OZ, 12-Pack is $0.174 per Fl Oz. The total price is $3.39 for 19.4 Fl Oz.","Mio Liquid Water Enhancer, Fruit Punch, 1.62 OZ, 12-Pack",3.39,0.1744,19.44,Fl Oz
"What is the price per unit for Fishwife Sardines with Preserved Lemon 3-Pack (4.20 Ounce) | Wild-Caught & Hand-Packed with Spanish Extra Virgin Olive Oil | MSC-Certified Sustainable Seafood, High Protein, Gluten Free, Paleo Friendly, Keto Friendly?","The price per unit for Fishwife Sardines with Preserved Lemon 3-Pack (4.20 Ounce) | Wild-Caught & Hand-Packed with Spanish Extra Virgin Olive Oil | MSC-Certified Sustainable Seafood, High Protein, Gluten Free, Paleo Friendly, Keto Friendly is $0.555 per Ounce. The total price is $6.99 for 12.6 Ounce.","Fishwife Sardines with Preserved Lemon 3-Pack (4.20 Ounce) | Wild-Caught & Hand-Packed with Spanish Extra Virgin Olive Oil | MSC-Certified Sustainable Seafood, High Protein, Gluten Free, Paleo Friendly, Keto Friendly",6.99,0.5548,12.6,Ounce
What is the price per unit for Tazo All Natural Black Tea Earl Grey -- 20 Tea Bags ( 3 pack)?,The price per unit for Tazo All Natural Black Tea Earl Grey -- 20 Tea Bags ( 3 pack) is $0.152 per count. The total price is $9.14 for 60.0 count.,Tazo All Natural Black Tea Earl Grey -- 20 Tea Bags ( 3 pack),9.14,0.1522,60.0,count
"What is the price per unit for Readerlink Llama Llama Easter Egg Book, 1 EA?","The price per unit for Readerlink Llama Llama Easter Egg Book, 1 EA is $7.990 per Count. The total price is $7.99 for 1.0 Count.","Readerlink Llama Llama Easter Egg Book, 1 EA",7.99,7.99,1.0,Count
"What is the price per unit for Borsari Coffee Rub Seasoning - Gourmet Rib Rub Seasoning and Dry Rub - Coffee Rub Seasoning with Coffee Spices and Cocoa - All Natural Coffee Rub for Meat (Coffee Rub 3.5 oz, Pack of 1)?","The price per unit for Borsari Coffee Rub Seasoning - Gourmet Rib Rub Seasoning and Dry Rub - Coffee Rub Seasoning with Coffee Spices and Cocoa - All Natural Coffee Rub for Meat (Coffee Rub 3.5 oz, Pack of 1) is $3.004 per Ounce. The total price is $10.52 for 3.5 Ounce.","Borsari Coffee Rub Seasoning - Gourmet Rib Rub Seasoning and Dry Rub - Coffee Rub Seasoning with Coffee Spices and Cocoa - All Natural Coffee Rub for Meat (Coffee Rub 3.5 oz, Pack of 1)",10.52,3.0043,3.5,Ounce
"What is the price per unit for Twinings Tea Lady Grey Decaffeinated Tea - Delicate Citrusy Flavor and Uplifting Aroma, Decaf Black Tea Bags Individually Wrapped, 20 Count?","The price per unit for Twinings Tea Lady Grey Decaffeinated Tea - Delicate Citrusy Flavor and Uplifting Aroma, Decaf Black Tea Bags Individually Wrapped, 20 Count is $0.239 per Count. The total price is $4.79 for 20.0 Count.","Twinings Tea Lady Grey Decaffeinated Tea - Delicate Citrusy Flavor and Uplifting Aroma, Decaf Black Tea Bags Individually Wrapped, 20 Count",4.79,0.2395,20.0,Count
"What is the price per unit for Las Palmas Diced Green Chiles, Mild, 27 Ounce (Pack of 12)?","The price per unit for Las Palmas Diced Green Chiles, Mild, 27 Ounce (Pack of 12) is $0.332 per oz. The total price is $107.49 for 324.0 oz.","Las Palmas Diced Green Chiles, Mild, 27 Ounce (Pack of 12)",107.49,0.3318,324.0,oz
"What is the price per unit for Eden Agar Flakes, 1-Ounce Package (Pack of 3)?","The price per unit for Eden Agar Flakes, 1-Ounce Package (Pack of 3) is $4.097 per Ounce. The total price is $12.29 for 3.0 Ounce.","Eden Agar Flakes, 1-Ounce Package (Pack of 3)",12.29,4.0967,3.0,Ounce
"What is the price per unit for Coombs Family Farms Maple Syrup, Organic Grade A, Dark Color, Robust Taste, 12oz …?","The price per unit for Coombs Family Farms Maple Syrup, Organic Grade A, Dark Color, Robust Taste, 12oz … is $20.990 per Count. The total price is $20.99 for 1.0 Count.","Coombs Family Farms Maple Syrup, Organic Grade A, Dark Color, Robust Taste, 12oz …",20.99,20.99,1.0,Count
"What is the price per unit for Mulled Spice Chamomile Tea (50 tea bags, ZIN: 533183) - 3 Pack?","The price per unit for Mulled Spice Chamomile Tea (50 tea bags, ZIN: 533183) - 3 Pack is $0.576 per Count. The total price is $86.43 for 150.0 Count.","Mulled Spice Chamomile Tea (50 tea bags, ZIN: 533183) - 3 Pack",86.43,0.5762,150.0,Count
"What is the price per unit for SkinnyPop Everything Bagel Popcorn Mini Cakes, 5oz Grocery Sized Bag, Skinny Pop, Healthy Popcorn Snacks, Gluten Free?","The price per unit for SkinnyPop Everything Bagel Popcorn Mini Cakes, 5oz Grocery Sized Bag, Skinny Pop, Healthy Popcorn Snacks, Gluten Free is $0.596 per Ounce. The total price is $2.98 for 5.0 Ounce.","SkinnyPop Everything Bagel Popcorn Mini Cakes, 5oz Grocery Sized Bag, Skinny Pop, Healthy Popcorn Snacks, Gluten Free",2.98,0.596,5.0,Ounce
What is the price per unit for 18ct Maynard's Sour Cherry Blasters (64g / 2.2oz)?,The price per unit for 18ct Maynard's Sour Cherry Blasters (64g / 2.2oz) is $20.450 per ounce. The total price is $44.99 for 2.2 ounce.,18ct Maynard's Sour Cherry Blasters (64g / 2.2oz),44.99,20.45,2.2,ounce
"What is the price per unit for Gourmet Toasted Pumpkin Seeds Pepitas (Green Pumpkin Seed Kernels, No Shell, Raw) by It's Delish –12 Oz Bulk Bag – Roasted Unsalted - Perfect for Salads, Baked Goods And Snacking (12 Oz)?","The price per unit for Gourmet Toasted Pumpkin Seeds Pepitas (Green Pumpkin Seed Kernels, No Shell, Raw) by It's Delish –12 Oz Bulk Bag – Roasted Unsalted - Perfect for Salads, Baked Goods And Snacking (12 Oz) is $31.990 per Count. The total price is $31.99 for 1.0 Count.","Gourmet Toasted Pumpkin Seeds Pepitas (Green Pumpkin Seed Kernels, No Shell, Raw) by It's Delish –12 Oz Bulk Bag – Roasted Unsalted - Perfect for Salads, Baked Goods And Snacking (12 Oz)",31.99,31.99,1.0,Count
What is the price per unit for Marshalls Creek Spices HERB De PROVENCE 4 ounce ECO Friendly Kraft Stand-up Pouch?,The price per unit for Marshalls Creek Spices HERB De PROVENCE 4 ounce ECO Friendly Kraft Stand-up Pouch is $4.995 per Ounce. The total price is $19.98 for 4.0 Ounce.,Marshalls Creek Spices HERB De PROVENCE 4 ounce ECO Friendly Kraft Stand-up Pouch,19.98,4.995,4.0,Ounce
"What is the price per unit for Sangria Green Tea (50 tea bags, ZIN: 535681) - 2 Pack?","The price per unit for Sangria Green Tea (50 tea bags, ZIN: 535681) - 2 Pack is $0.389 per Count. The total price is $38.92 for 100.0 Count.","Sangria Green Tea (50 tea bags, ZIN: 535681) - 2 Pack",38.92,0.3892,100.0,Count
"What is the price per unit for KONG Stuff'N Ziggies Dog Treat, Large, 8 Ounce?","The price per unit for KONG Stuff'N Ziggies Dog Treat, Large, 8 Ounce is $1.498 per Ounce. The total price is $11.98 for 8.0 Ounce.","KONG Stuff'N Ziggies Dog Treat, Large, 8 Ounce",11.98,1.4975,8.0,Ounce
"What is the price per unit for Delallo, Drizzle Oil Sweeet & Spicy, 8 Fl Oz?","The price per unit for Delallo, Drizzle Oil Sweeet & Spicy, 8 Fl Oz is $2.645 per Fl Oz. The total price is $21.16 for 8.0 Fl Oz.","Delallo, Drizzle Oil Sweeet & Spicy, 8 Fl Oz",21.16,2.645,8.0,Fl Oz
"What is the price per unit for Creamy Earl Grey White Tea (Loose) (4 oz, ZIN: 518410)?","The price per unit for Creamy Earl Grey White Tea (Loose) (4 oz, ZIN: 518410) is $17.488 per Ounce. The total price is $69.95 for 4.0 Ounce.","Creamy Earl Grey White Tea (Loose) (4 oz, ZIN: 518410)",69.95,17.4875,4.0,Ounce
"What is the price per unit for Liquid Death Sweet Reaper Tea 6pk, 12 FZ?","The price per unit for Liquid Death Sweet Reaper Tea 6pk, 12 FZ is $0.820 per Fl Oz. The total price is $9.84 for 12.0 Fl Oz.","Liquid Death Sweet Reaper Tea 6pk, 12 FZ",9.84,0.82,12.0,Fl Oz
"What is the price per unit for Prego Mini-Meatball Pasta Sauce, Great Tomato Sauce for Pasta, 24 Ounce Jar (Pack of 12)?","The price per unit for Prego Mini-Meatball Pasta Sauce, Great Tomato Sauce for Pasta, 24 Ounce Jar (Pack of 12) is $0.020 per Ounce. The total price is $5.87 for 288.0 Ounce.","Prego Mini-Meatball Pasta Sauce, Great Tomato Sauce for Pasta, 24 Ounce Jar (Pack of 12)",5.87,0.0204,288.0,Ounce
"What is the price per unit for UCC Original Blend Coffee With Milk, Ready To Drink Coffee, Imported from Japan, 11.3 oz (Pack of 6)?","The price per unit for UCC Original Blend Coffee With Milk, Ready To Drink Coffee, Imported from Japan, 11.3 oz (Pack of 6) is $0.044 per Fl Oz. The total price is $2.98 for 67.8 Fl Oz.","UCC Original Blend Coffee With Milk, Ready To Drink Coffee, Imported from Japan, 11.3 oz (Pack of 6)",2.98,0.044,67.8,Fl Oz
What is the price per unit for Beaver Horseradish Xhot?,The price per unit for Beaver Horseradish Xhot is $0.480 per Fl Oz. The total price is $1.92 for 4.0 Fl Oz.,Beaver Horseradish Xhot,1.92,0.48,4.0,Fl Oz
"What is the price per unit for Bones Coffee Company Coconut Rum Flavored Coffee Beans, Medium Roast Ground Coffee Low Acid, Coconut and Rum Flavor (12 oz)?","The price per unit for Bones Coffee Company Coconut Rum Flavored Coffee Beans, Medium Roast Ground Coffee Low Acid, Coconut and Rum Flavor (12 oz) is $1.499 per Ounce. The total price is $17.99 for 12.0 Ounce.","Bones Coffee Company Coconut Rum Flavored Coffee Beans, Medium Roast Ground Coffee Low Acid, Coconut and Rum Flavor (12 oz)",17.99,1.4992,12.0,Ounce
What is the price per unit for Native Deodorant Sugar Cookie Paraben Aluminum Free 2.65 oz?,The price per unit for Native Deodorant Sugar Cookie Paraben Aluminum Free 2.65 oz is $3.842 per Ounce. The total price is $9.99 for 2.6 Ounce.,Native Deodorant Sugar Cookie Paraben Aluminum Free 2.65 oz,9.99,3.8423,2.6,Ounce
"What is the price per unit for Season, Anchovies Flat Fillets In Olive Oil, 2 Ounce?","The price per unit for Season, Anchovies Flat Fillets In Olive Oil, 2 Ounce is $2.442 per Ounce. The total price is $4.88 for 2.0 Ounce.","Season, Anchovies Flat Fillets In Olive Oil, 2 Ounce",4.88,2.4425,2.0,Ounce
